geog,tractid,d,pcalc,adj_rate,ll,ul,h_state,pcalc_state,adj_rate_state,ll_state,ul_state
County,08019,.,46895,.,.,.,2546,27655705,8.89833,8.54735,9.2493
County,08021,9,40710,23.718,11.1175,41.034,2546,27655705,8.89833,8.54735,9.2493
County,08023,.,18435,.,.,.,2546,27655705,8.89833,8.54735,9.2493
County,08025,.,28150,.,.,.,2546,27655705,8.89833,8.54735,9.2493
County,08027,.,23200,.,.,.,2546,27655705,8.89833,8.54735,9.2493
County,08029,3,151730,1.9258,0.3506,4.767,2546,27655705,8.89833,8.54735,9.2493
County,08031,453,3467085,12.0394,10.8964,13.182,2546,27655705,8.89833,8.54735,9.2493
County,08033,0,9205,0,0,0,2546,27655705,8.89833,8.54735,9.2493
County,08035,48,1643070,3.0889,2.2,3.978,2546,27655705,8.89833,8.54735,9.2493
County,08037,8,271785,2.6207,1.0494,4.899,2546,27655705,8.89833,8.54735,9.2493
County,08039,3,125810,3.8172,1.1665,7.994,2546,27655705,8.89833,8.54735,9.2493
County,08041,372,3440765,10.6791,9.5754,11.783,2546,27655705,8.89833,8.54735,9.2493
County,08043,17,235010,7.2426,3.7012,10.784,2546,27655705,8.89833,8.54735,9.2493
County,08045,20,292690,6.9878,3.9052,10.07,2546,27655705,8.89833,8.54735,9.2493
County,08047,.,29620,.,.,.,2546,27655705,8.89833,8.54735,9.2493
County,08049,10,75330,13.8695,6.7346,23.554,2546,27655705,8.89833,8.54735,9.2493
County,08051,.,82685,.,.,.,2546,27655705,8.89833,8.54735,9.2493
County,08053,0,4390,0,0,0,2546,27655705,8.89833,8.54735,9.2493
County,08055,6,32915,17.0987,5.8903,34.141,2546,27655705,8.89833,8.54735,9.2493
County,08057,.,6480,.,.,.,2546,27655705,8.89833,8.54735,9.2493
County,08059,251,2852135,8.6005,7.514,9.687,2546,27655705,8.89833,8.54735,9.2493
County,08061,0,7245,0,0,0,2546,27655705,8.89833,8.54735,9.2493
County,08063,3,38175,8.0396,1.5608,19.549,2546,27655705,8.89833,8.54735,9.2493
County,08065,.,37925,.,.,.,2546,27655705,8.89833,8.54735,9.2493
County,08067,11,275505,4.1389,2.0852,6.89,2546,27655705,8.89833,8.54735,9.2493
County,08069,126,1690805,7.3177,5.9997,8.636,2546,27655705,8.89833,8.54735,9.2493
County,08071,20,70895,25.9309,13.8945,37.967,2546,27655705,8.89833,8.54735,9.2493
County,08073,3,27740,11.239,2.2256,27.175,2546,27655705,8.89833,8.54735,9.2493
County,08075,3,108445,3.2228,0.7296,7.487,2546,27655705,8.89833,8.54735,9.2493
County,08077,77,749990,10.6353,8.1872,13.083,2546,27655705,8.89833,8.54735,9.2493
County,08079,0,4115,0,0,0,2546,27655705,8.89833,8.54735,9.2493
County,08081,.,65300,.,.,.,2546,27655705,8.89833,8.54735,9.2493
County,08083,8,129545,6.2212,2.6674,11.258,2546,27655705,8.89833,8.54735,9.2493
County,08085,15,206340,6.7322,3.032,10.432,2546,27655705,8.89833,8.54735,9.2493
County,08087,7,141285,4.9787,1.9792,9.338,2546,27655705,8.89833,8.54735,9.2493
